Valor,Último,Var,Var%,Vol,Anterior,Máximo,Mínimo,Hora
ACCIONA,2492000,24000,97,30K,2468000,2502000,2464000,12:04:48
ACCIONA ENERGÍA,231800,600,26,29K,231200,232400,230200,12:11:51
ACERINOX,157500,-1000,-63,161K,158500,158800,156700,12:08:36
ACS CONST.,1253000,10000,80,34K,1243000,1255000,1240000,12:11:10
ADOLFO DMGZ,56000,500,90,4K,55500,56000,55000,11:06:04
AEDAS HOMES,236000,500,21,163,235500,236000,232500,12:10:06
AENA,244200,-4800,-193,260K,249000,248000,241800,12:11:41
AIRBUS GROUP,1764400,-35800,-199,5K,1800200,1780800,1763000,12:07:58
AIRTIFICIAL INT.,940,22,240,501K,918,00940,00907,12:11:15
ALANTRA PART,102500,0,0,13K,102500,104000,102000,12:02:10
ALDICER RE RG,1720000,0,0,0,1720000,-,-,CIERRE
ALMIRALL,113600,-200,-18,23K,113800,114600,113400,11:58:53
ALQU SEG ASSET RG,138000,0,0,0,138000,-,-,CIERRE
AMADEUS IT,546800,-600,-11,124K,547400,549000,542000,12:07:57
AMPER,2130,75,365,19M,2055,02155,02065,12:12:13
AMREST HOLDINGS,25000,50,20,8K,24950,25700,25000,12:04:31
APERAM,512000,-4000,-78,269,516000,512000,504500,11:20:29
ARCEL.MITTAL,598200,4400,74,49K,593800,600400,588600,12:09:19
ARIMA,113000,5000,463,39,108000,113000,113000,11:29:54
ARTECHE,400000,-8000,-196,3K,408000,414000,399000,11:56:26
ATRESMEDIA,51300,-300,-58,100K,51600,51600,51200,12:08:26
ATRYS HEALTH,28150,0,0,12K,28150,28600,27900,11:18:54
AUDAX REN.,13840,-60,-43,92K,13900,14000,13800,12:11:39
AZKOYEN,118500,3000,260,8K,115500,119000,117000,11:32:56
B.RIOJANAS,11500,-1000,-800,8K,12500,12500,11500,11:45:22
B.SABADELL,28700,-300,-103,10M,29000,28890,28460,12:11:29
BANKINTER,144400,-250,-17,134K,144650,144850,143950,12:11:11
BBVA,200000,-1100,-55,2M,201100,201200,199400,12:11:52
BERKELEY ENERGIA,2900,-100,-333,1M,3000,02970,02880,12:11:03
BETTER CONSULT,46000,0,0,0,46000,-,-,CIERRE
C. BAVIERA,584000,4000,69,871,580000,584000,580000,11:32:00
CAF,625000,1000,16,4K,624000,628000,621000,12:03:20
CAIXABANK,116850,850,73,687K,116000,117050,115950,12:11:01
CAM,13400,0,0,0,13400,-,-,CIERRE
CAMINHO PROPICIO RG,9650,0,0,0,9650,-,-,CIERRE
CELLNEX TEL.,284700,-3500,-121,214K,288200,288100,281100,12:10:38
CEVASA,89000,-3000,-326,44,92000,89000,89000,12:00:00
CIE AUTOMOTIVE,295000,500,17,9K,294500,295000,291000,12:06:55
CIRSA ENTERPRIS RG,126800,200,16,15K,126600,127200,126200,12:08:42
CLEOP,11500,0,0,0,11500,-,-,CIERRE
COCA-COLA,780000,-2000,-26,1K,782000,784000,775000,12:08:44
COLONIAL,57400,0,0,621K,57400,57800,56950,12:11:03
COX ABG GROUP RG,135000,1000,75,5K,134000,135000,131500,12:02:50
CUPULAS PROPERT RG,16700000,0,0,0,16700000,-,-,CIERRE
DEOLEO,2790,50,182,525K,2740,02790,02730,12:10:57
DESA,200000,0,0,150,200000,200000,200000,12:00:00
DURO FELGUERA,1700,-36,-207,4K,1736,01734,01692,11:16:52
EBRO FOODS,180200,200,11,32K,180000,180800,179800,12:04:12
ECOENER,42800,-100,-23,297,42900,42800,42700,09:44:46
EDREAMS,41800,0,0,1M,41800,44450,41300,12:11:19
ELECNOR,413000,2000,49,24K,411000,413500,408500,12:10:31
ENAGAS,170900,700,41,176K,170200,171000,169900,12:11:31
ENCE,24540,240,99,93K,24300,24600,24280,11:54:33
ENDESA,363300,4700,131,87K,358600,363400,358100,12:08:44
ERCROS,34575,-75,-22,6K,34650,34650,34500,11:22:21
EZENTIS,741,-3,-40,449K,744,00750,00735,12:11:08
FAES,46250,-300,-64,31K,46550,46450,46100,12:06:11
FCC,117000,-800,-68,2K,117800,118000,117000,12:01:06
FERROVIAL INTL RG,582400,-4600,-78,109K,587000,584600,577600,12:11:04
FLUIDRA,186700,-1700,-90,128K,188400,188000,186300,12:09:57
G.E.SAN JOSE,79400,200,25,47K,79200,80200,78500,12:06:13
GAM (GALQ),14800,-200,-133,19K,15000,15100,14800,10:39:17
GESRENTA BCN RG,1310000,0,0,0,1310000,-,-,CIERRE
GESTAMP,32650,50,15,38K,32600,32750,32300,12:11:38
GLOBAL DOM.,31950,-200,-62,111K,32150,32400,31850,12:06:32
GRANDVOYAGE TRAV BR,29000,0,0,0,29000,-,-,CIERRE
GRENERGY REN.,1260000,30000,244,15K,1230000,1262000,1238000,12:00:38
GREYMILE RG,32000,0,0,0,32000,-,-,CIERRE
GRIFOLS,93200,400,43,495K,92800,94460,92740,12:10:13
GRIFOLS B,69200,200,29,27K,69000,69200,68500,12:09:58
HOTELBEDS,70650,-600,-84,96K,71250,71800,69700,12:10:13
IAG (IBERIA),49440,-150,-30,2M,49590,49630,49210,12:11:10
IBERDROLA,195000,0,0,1M,195000,195500,194000,12:12:04
IBERPAPEL,193500,-1000,-51,212,194500,194500,193000,11:08:42
IBERV HOTELES RG,182000,0,0,0,182000,-,-,CIERRE
INDITEX,534800,1800,34,289K,533000,536400,530600,12:12:01
INDRA A,570000,1200,21,451K,568800,579600,564000,12:11:43
INICIAT FARO 24 RG,18300,0,0,0,18300,-,-,CIERRE
INM. DEL SUR,170000,500,29,1K,169500,170000,167000,11:56:30
INMOBIL MARBELLA RG,37600,0,0,0,37600,-,-,CIERRE
INMOCEMENTO,39800,-100,-25,2K,39900,39800,39000,10:10:31
INNOV SIM SOL RG,48000,0,0,0,48000,-,-,CIERRE
INNOV SOLUT ECO,5650,0,0,0,5650,-,-,CIERRE
IZERTIS,86600,1200,141,3K,85400,87800,85200,11:15:54
LAB. REIG,27200,200,74,525,27000,27200,27100,11:51:24
LABORAT.ROVI,590500,-2500,-42,29K,593000,595000,589000,12:10:39
LIBERTAS 7,32500,0,0,0,32500,-,-,CIERRE
LINEA DIRECTA BR,11760,-180,-151,160K,11940,11920,11660,12:00:16
LINGOTES ESP,55200,800,147,1K,54400,55600,54400,10:27:52
LOGISTA,333400,-1800,-54,34K,335200,334200,332400,12:08:30
MAPFRE,39660,-560,-139,827K,40220,40000,39600,12:11:19
MASA RENTAL RG,1140000,0,0,0,1140000,-,-,CIERRE
MELIA HOTELS,111500,-800,-71,57K,112300,111900,110500,12:06:37
MERLIN PROP.,151300,100,7,136K,151200,151900,150900,12:11:29
METROVACESA,105800,0,0,22K,105800,105800,105200,12:12:22
MFE RG-A,29520,-760,-251,4K,30280,30240,29520,10:41:01
MIN Y PROD I,80000,0,0,0,80000,-,-,CIERRE
MIQUEL COSTAS,138000,-500,-36,447,138500,138000,138000,09:32:21
MONTEBALITO,18000,0,0,0,18000,-,-,CIERRE
NATURGY,289200,3800,133,288K,285400,290000,285400,12:08:52
NATURHOUSE,25400,-100,-39,6K,25500,25500,25400,11:34:09
NEINOR HOMES,159000,-400,-25,543K,159400,161700,158200,12:10:29
NEXTIL,9590,50,52,369K,9540,09620,09430,12:12:16
NICOLAS CORREA,95800,0,0,1K,95800,96800,95800,10:55:30
NYESA,46,0,0,6M,46,00047,00045,11:40:43
OBR.H.LAIN,4844,-102,-206,4M,4946,04946,04832,12:12:01
ORYZON GEN.,31640,200,64,411K,31440,32080,31120,12:00:37
PESCANOVA,2500,40,163,5K,2460,02500,02500,10:17:18
PHARMA MAR R,1006000,6000,60,37K,1000000,1036000,992000,12:09:24
PRIM,135000,0,0,1K,135000,135000,134000,12:04:41
PRISA,2980,30,102,21K,2950,02980,02960,11:55:36
PROSEGUR,26100,-250,-95,20K,26350,26300,26100,12:05:38
PROSEGUR CASH,6100,120,201,253K,5980,06120,06000,12:11:10
PUIG BRANDS B RG,160400,-900,-56,152K,161300,161900,160100,12:11:29
REALIA,10150,0,0,8K,10150,10150,10150,10:26:51
REDEIA CORPORACIÓN,148600,1300,88,179K,147300,148700,147300,12:12:05
RENTA 4,191000,1000,53,1K,190000,193000,190500,11:36:33
RENTA CORP.,7980,80,101,5K,7900,07980,07980,10:16:59
REPSOL,222700,2300,104,417K,220400,224100,222200,12:11:52
SACYR,46840,320,69,290K,46520,47000,46180,12:09:23
SANTANDER,107300,20,2,4M,107280,107820,106720,12:12:17
SOLARIA,238900,3900,166,264K,235000,240400,233000,12:04:01
SOLTEC,9250,-250,-263,251K,9500,09550,09250,12:10:06
SQUIRREL MEDIA,24200,-200,-82,6K,24400,24800,24200,11:24:56
ST CROIX HLD IMM RG,685000,0,0,0,685000,-,-,CIERRE
SUPERMERCADOS DIA,392000,-6000,-151,4K,398000,395500,390500,12:06:44
TALGO,27100,0,0,23K,27100,27200,27000,12:01:03
TEC.REUNIDAS,316800,1600,51,42K,315200,321000,315000,12:11:43
TELEFONICA,39630,250,63,2M,39380,39680,39170,12:12:14
TR JARDIN DEL MA BR,10000,0,0,0,10000,-,-,CIERRE
TSK ELECTRON RG,56900,-1200,-207,30K,58100,58100,56700,11:57:44
TUBACEX,31250,250,81,113K,31000,31550,30600,12:03:37
TUBOS REUNID,1438,0,0,0,1438,-,-,CIERRE
UNICAJA BANCO,28820,80,28,859K,28740,28900,28500,12:12:10
URBAR INGENIEROS BR,730,0,0,0,730,-,-,CIERRE
URBAS,22,0,0,0,22,-,-,CIERRE
VIDRALA,763000,-6000,-78,10K,769000,769000,762000,11:51:31
VISCOFAN,592000,-2000,-34,19K,594000,593000,590000,12:11:46
VOCENTO,8200,100,123,15K,8100,08200,07960,11:56:45
